account_id,degree_centrality,betweenness_centrality,pagerank,clustering_coeff,eigenvector_centrality,amount_zscore,velocity,entropy_risk,cluster_density,n_sent,n_received,total_sent,mean_sent,unique_receivers
ACC01612,-0.01735373324367628,-0.001073172982470614,-0.0448621844199491,-0.06919337865764298,0.0,-0.2109737168485513,-0.0011529842890049952,-0.0018583417235309198,-0.01435154577998159,-0.010083383476782413,0.0011597533388494096,-0.03842957780795244,-0.05324012905464791,-0.016524097270955152
ACC00667,0.001288087633229812,-0.0027082699779173523,0.11927723151555072,-0.018692189693766074,0.0,0.4561989791078171,-1.1578022740502857e-05,-0.006131591327522415,-0.003798098962474597,-0.012868704763407927,0.0021872964266116493,-0.012663006175717218,-0.019973180967835447,-0.010041467008122824
ACC01214,-0.0035870882525557185,-0.033849393391500567,-0.03397553287166737,-0.039355213306525236,0.0,-0.18409508851385906,-0.0004350625625081614,-0.03054060546097445,-0.008364219839692509,-0.026817396677920356,-0.01672311532958891,-0.03695456671748544,-0.05160282183072077,-0.0216363874612976
ACC01248,-0.01564127516632498,-0.013978041677639589,-0.03648218105520509,-0.035989083157724734,0.0,-0.18428874672850382,-0.00038620913466159214,0.001269048219478566,-0.009603988300998519,-0.007338168933052535,-0.034171216325631484,-0.05197998430125855,-0.05847999949862722,-0.010866646156145807
ACC00899,-0.011728286683922843,-0.047209032054227565,-0.03421316250690103,0.0016728803059201367,0.0,-0.22212441245427464,-0.00041727122706493774,-0.015108317109813299,-0.01395432323400563,0.002795263133340836,-0.016842365126075474,-0.0596155644099063,-0.06688679012897346,0.005694889279608441
ACC01877,-0.0218197801218251,-0.05130423005443276,-0.038455838779137816,-0.0426314668380705,0.0,-0.1931840345537044,-0.0006955378288042248,0.0006127892451451559,-0.015335150453637385,-0.01250760941692133,0.001757091794192525,-0.0506025212642936,-0.05714994441533143,-0.016620259529474005
ACC00084,-0.02111586038889947,-0.019981349460380653,-0.04182474436606096,-0.03742428121633645,0.0,-0.18627456347911708,-0.0006432566925793318,-0.01723588436949813,-0.02105479495879072,-0.013607215495753942,-0.01286244389926632,-0.034106775079910216,-0.05859009652191432,-0.023215226287787445
ACC01259,-0.009482636296065395,-0.053718652302595614,-0.0426810861991097,-0.03161247371338423,0.0,-0.21774863624296145,-0.0024903591788189893,-0.017444551783415814,-0.012388557995746258,-0.008044393001243018,0.004633231653044659,-0.015432883078766014,-0.07250455051615941,0.010979056438925567
ACC00531,-0.014999597712063004,-0.030811914626843115,-0.06280404691076616,-0.05550105508644165,0.0,-0.16751858132861658,-0.0006230466791142679,-5.53281010741887e-05,-0.019692606540446453,-0.022218252856276884,0.011540025317600658,-0.03842359800021646,-0.05206417696068664,-0.024764312731351188
ACC01342,-0.015106146245660578,-0.022171728757043093,0.02367783742528299,-0.03745140992761102,0.0,-0.2502301980172206,-0.0006499112429232327,0.006659456549167005,-0.015612346676945575,-0.010569823661360344,0.014233240662020858,-0.05261158609307326,-0.05493513296669852,-0.013168743264230473
ACC00119,-0.004073945154838298,-0.002817054923567057,0.038332490619124825,0.05761736749048049,0.0,0.24209168656288255,-0.00042547238640835283,-0.00026885264375669203,-0.00041632560933437787,0.039780432964890866,0.001399884841195782,0.02296507508598169,0.06281183275951457,0.04506638817753776
ACC00361,0.017061703209206962,0.06347957941102059,0.051591311083389116,0.0015739156013473172,0.0,-0.11532146073897527,-0.0002876224592875979,0.034856237196226235,0.005275211723788063,0.027667955995801522,0.0014917048294288255,0.015240214569767563,0.008636216168493078,0.020798541193496976
ACC00162,-0.008504747456962584,-0.01775518177298467,-0.04922625356384305,-0.04405230425818731,0.0,-0.19621289047392368,-0.0006890963547158751,-0.01903171688653367,-0.0090094571328785,-0.024121283275590755,-0.0059458162995961236,-0.04689493096770666,-0.05299340765805326,-0.023499406115319817
ACC00707,-0.010484993717883166,-0.07247584043103844,-0.01583554782264015,-0.040831137368353275,0.0,-0.1952768513399611,-0.00033475446087308583,-0.0009138479657788835,-0.016746112834257323,-0.011086474446904575,-0.01778345580295065,-0.033603080127824037,-0.050550703339991655,-0.02201369255783984
ACC01706,-0.00689925951780337,0.0026464636986045023,-0.04457574820520604,-0.043465112133930825,0.0,-0.18315357691775533,-0.00019224108361214103,-0.021289507757311414,-0.011131146906229652,-0.03062765940996752,-0.01478833676089144,-0.04831237728961165,-0.04916661952409479,-0.0269813704084864
ACC00453,-0.02175881331623223,0.0005711379718321253,-0.05195608364248933,-0.039809693698462205,0.0,-0.19519346195909978,-0.0004908283493433418,-0.001008597533514819,-0.004694198487626941,-0.015461971694308694,-0.019373916425753087,-0.05709161467027716,-0.06312032899512417,-0.018548121415895392
ACC01171,-0.005566141808741098,-0.016479574530246874,-0.03836364098675621,-0.04668054980331371,0.0,-0.18871252571742153,-0.0005158795414977086,-0.026426366689405123,-0.00939437163576079,-0.03235529660431625,-0.01932854520940513,-0.03403325221471162,-0.05027181290471053,-0.029808534570009912
ACC01882,-0.018100773244476568,-0.019975337288860265,-0.062487706731841765,-0.050613921673336074,0.0,-0.20123799766306957,-0.0007093933566587809,0.003599132753293616,-0.007874370988953064,-0.010025702992708923,0.0005161127056264051,-0.0536130843925105,-0.054181390118697624,-0.01323205922410378
ACC00068,-0.004195270892057879,-0.018015492037164967,-0.02038117213686755,0.07889405062747243,0.0,0.3041869185493386,-0.00016009203064113324,0.026382023575258293,0.009092195390986785,-0.011904946337890764,-0.0026092927073587883,0.04548901699790988,0.08130295042712812,0.013982618357591603
ACC01786,-0.0034816090537353227,-0.010073066048635051,0.045002307867645586,0.06580588869611395,0.0,0.27866273912275363,-0.0001873046413956408,-0.00580876579253594,0.005697095224760563,0.010171900488464737,-0.0051579369165322235,0.034160887229486715,0.07176942652057651,0.015501945086736541
ACC01461,-0.00867407556634808,0.012163060633148587,-0.0196541616627237,-0.03838459877954132,0.0,-0.18140921541649174,-0.00042907573031424794,-0.03711083702213631,-0.007255795378105017,-0.03734666879472373,-0.016963349185758626,-0.035557197660271316,-0.06127138470473819,-0.04604319294829165
ACC01709,-0.016131147200677588,-0.026601618444521868,-0.05381818970298107,-0.03921018222226307,0.0,-0.1933152006883381,-0.0005707336353914681,-0.0008362723719745494,-0.007958270503569651,-0.013703645799561003,-0.011219305725877916,-0.0476691185907372,-0.05963785314072192,-0.01726495418968048
ACC01975,-0.012131182368939357,-0.03710078756761618,-0.04443617923794991,-0.03643535675365267,0.0,-0.21106662431981202,-0.0008277479818201571,-0.009347912579929679,-0.009480009552920124,0.00185963487194394,-0.012335037882097704,-0.05899884578497987,-0.06167209706014336,0.004035654001621138
ACC01508,-0.004537068440188867,-0.02541291311207856,0.05300777881074426,0.06661570975169072,0.0,0.28032226959369144,-0.00014977251209184641,-0.004388804805473914,-0.004470736605857397,0.011812226458751324,0.004367881100831976,0.03753142626709485,0.07153973229977413,0.015825778976815818
ACC00979,-0.01423274052794891,-0.00989184830917942,-0.044480350163825254,-0.03636494446952929,0.0,-0.18746612105872382,-0.0005555174241298739,-0.024457435454701314,-0.0101295065838948,-0.02896250894196122,-0.018924822848086133,-0.04265128642184679,-0.04981167842254564,-0.030007731589923304
ACC00934,-0.008481311251271856,-0.0395427126150308,-0.0520888299362286,-0.05026305407856947,0.0,-0.20683667042601922,-0.0009664231460550041,0.0011972448836108877,0.0051747260916761495,-0.01328153588471442,0.0037357904546287063,-0.04381824894420307,-0.05203053098336866,-0.020734936380750236
ACC01162,-0.013170948726704412,-0.024392679337942497,-0.045172213476947505,-0.0331632380758496,0.0,-0.19162436538243519,-0.0005740195903203776,-0.01675907651488076,-0.01038954259503821,-0.0194865020025442,-0.012230429162696243,-0.040598090746716005,-0.048719359862313266,-0.021656026741907898
ACC00978,-0.01351373719394489,-0.05127225815099701,-0.03628095971344111,-0.03589536199006534,0.0,-0.19534966765330591,-0.0004474341110898401,0.0006313100305657114,-0.010659162817385473,-0.01320577394639123,-0.017117621400138127,-0.03899178137169501,-0.05659735537665656,-0.019236688521751446
ACC00850,0.009628119043443205,0.013058490021922978,-0.036063019329886,-0.035660947173419215,0.0,-0.18511281794401635,-0.002725237105333601,-0.043235697790786905,-0.013487183302640367,-0.04725723936488137,-0.01308645555641934,-0.03819809379400866,-0.05114395657950613,-0.03465245334076456
ACC00875,-0.0020580597026822914,-0.01881762986354583,-0.05667564520008047,-0.0407028198984335,0.0,-0.1847548854352356,-0.0007293483700360049,-0.033315629447567045,-0.008300889331950117,-0.028969475857497092,0.0020804872619017843,-0.03898692482478458,-0.06059968402689934,-0.026105987519485545
ACC00973,-0.021288368141812,-0.04865973982974504,-0.028323339526807396,-0.03598469296057239,0.0,-0.1759756345198991,-0.0002733596839805493,-0.002537758163976647,-0.018169305120645594,-0.010777793225327998,-0.04181955921978951,-0.03933466890279484,-0.05929560884554362,-0.015496664075401966
ACC00278,-0.018057091343248923,-0.017291054097416683,-0.045223041386723214,-0.06066149476699135,0.0,-0.19534226479115194,-0.0010088695568064062,-0.0015270210615183834,-0.010117785207080192,-0.021261996570909047,0.0016301247670246915,-0.04939130205901243,-0.06097089231562207,-0.01871380382684099
ACC01931,-0.0035545390928134885,-0.0323889282339416,0.033921899130457636,-0.047159165331692995,0.0,-0.2691188428807053,-0.000573371255812776,0.0032134934873078915,-0.015933213782123586,-0.01592634121428502,0.008826675818465881,-0.04637374478330435,-0.05536878933153389,-0.017501624746313664
ACC01595,-0.01251324237860866,-0.010497104463808781,-0.020054829848607764,-0.037292285400443256,0.0,-0.19394844901973748,-0.00035557173741509475,1.0744390212196997e-05,-0.01771620167380195,-0.011821816338559004,-0.022941959252987296,-0.060127733995401375,-0.06310556503231331,-0.01757247746482371
ACC01444,-0.0050412494160787195,-0.021517020581718223,-0.018239246884171948,-0.010716003207250751,0.0,0.5630521853333273,-5.831087435112179e-05,0.005612175431059798,-0.004565612739777919,-0.009008685706500992,0.0014950895599187526,-0.0216457375006773,-0.021550377304883368,-0.005753698325191341
